,order_date,sales_qty,sales_amount,currency,user_id,r_id
47,03-08-2018,1,157,INR,7541,459776
48,24-08-2018,1,315,INR,8337,459775
49,21-09-2018,1,630,INR,19898,420637
50,28-09-2018,1,315,INR,69665,420479
51,09-11-2018,1,157,INR,33769,427606
52,16-11-2018,1,472,INR,3237,531363
53,07-12-2018,1,157,INR,80649,156592
54,14-12-2018,1,157,INR,64737,373319
55,25-01-2019,1,315,INR,49747,508318
56,01-02-2019,1,157,INR,1056,407243
57,08-02-2019,1,472,INR,30521,187915
58,15-02-2019,1,472,INR,76940,461724
59,22-02-2019,1,315,INR,90825,156542
60,01-03-2019,1,472,INR,41955,161405
61,08-03-2019,1,315,INR,33728,462070
62,15-03-2019,1,157,INR,12452,224008
63,22-03-2019,1,315,INR,40286,165533
64,29-03-2019,1,315,INR,53063,225827
65,05-04-2019,1,315,INR,64787,242943
66,12-04-2019,1,787,INR,60994,186286
67,23-04-2019,1,630,INR,39802,166613
68,29-04-2019,1,472,INR,22088,500628
69,06-05-2019,1,315,INR,22337,186289
70,10-05-2019,1,787,INR,6861,165532
71,17-05-2019,1,1102,INR,20697,169281
72,03-06-2019,1,787,INR,85734,408059
73,07-06-2019,1,157,INR,5550,529171
74,17-06-2019,1,315,INR,47992,517814
75,24-06-2019,1,315,INR,49789,167432
76,28-06-2019,1,315,INR,94710,166971
77,05-07-2019,1,472,INR,4533,516171
78,12-07-2019,1,630,INR,97525,226299
79,19-07-2019,1,944,INR,38862,374706
80,26-07-2019,2,1417,INR,94083,473193
81,02-08-2019,2,1417,INR,70963,167412
82,09-08-2019,1,787,INR,1256,503717
83,16-08-2019,1,1259,INR,86135,165530
84,02-09-2019,2,1574,INR,56042,255925
85,03-09-2019,1,630,INR,24835,225921
86,06-09-2019,1,157,INR,86873,549242
87,13-09-2019,2,1417,INR,43518,321587
88,20-09-2019,1,630,INR,4139,439487
89,23-09-2019,200,66111,INR,60230,397980
90,27-09-2019,2,1884,INR,17407,304302
91,07-10-2019,1,944,INR,97062,533186
92,28-10-2019,7,2574,INR,22637,478348
93,08-11-2019,1,630,INR,89402,138890
94,15-11-2019,1,472,INR,22934,553999
95,22-11-2019,1,944,INR,94097,410839
96,29-11-2019,2,1417,INR,69318,137701
97,06-12-2019,1,1259,INR,30973,575990
98,13-12-2019,4,3773,INR,95622,410838
99,20-12-2019,1,315,INR,75375,397258
100,09-01-2020,1,630,INR,67309,133352
101,10-01-2020,1,472,INR,32001,150497
102,17-01-2020,2,2042,INR,27878,383716
103,07-02-2020,1,417,INR,44282,113948
104,14-02-2020,1,310,INR,72118,431552
105,28-02-2020,1,208,INR,7393,412357
106,06-03-2020,1,620,INR,60723,102037
107,13-03-2020,1,620,INR,8510,578207
108,03-04-2020,1,829,INR,35057,565260
109,14-04-2020,4,2694,INR,12548,101351
110,20-04-2020,1,102,INR,75828,480203
111,15-05-2020,2,528,INR,77161,102842
112,24-10-2017,1,380,INR,6335,138891
113,25-10-2017,1,560,INR,26962,143143
114,30-10-2017,1,560,INR,62482,558957
115,27-11-2017,1,1116,INR,49458,489011
116,11-12-2017,1,657,INR,55705,428013
117,12-12-2017,1,560,INR,3659,116273
118,19-12-2017,1,657,INR,15765,478936
119,12-02-2018,1,560,INR,98573,477627
120,19-10-2018,11,6218,INR,7042,437616
121,20-11-2017,7,2426,INR,33021,550910
122,24-11-2017,33,15278,INR,79414,342366
123,14-11-2018,3,3032,INR,5021,557008
124,22-05-2019,2,3194,INR,9751,97199
125,23-05-2019,1,912,INR,90157,134569
126,28-05-2019,1,1824,INR,81405,183009
127,29-05-2019,1,458,INR,22196,174586
128,31-05-2019,3,4444,INR,54311,494588
129,03-06-2019,1,458,INR,7130,102042
130,04-06-2019,1,458,INR,4820,431339
131,05-06-2019,1,1824,INR,51986,109550
132,05-06-2019,2,2667,INR,60272,477628
133,06-06-2019,14,19171,INR,81439,129550
134,07-06-2019,1,458,INR,24228,387674
135,11-06-2019,1,458,INR,85740,183165
136,12-06-2019,1,458,INR,99692,310273
137,14-06-2019,1,1370,INR,6099,293915
138,14-06-2019,2,2667,INR,20384,131676
139,17-06-2019,1,1333,INR,40087,109258
140,18-06-2019,1,597,INR,31820,483552
141,18-06-2019,7,8889,INR,66852,517939
142,19-06-2019,1,1778,INR,20461,154840
143,28-06-2019,7,9130,INR,64296,494001
144,23-04-2018,1,602,INR,96599,489362
145,03-05-2018,2,3227,INR,52610,510109
146,04-05-2018,1,449,INR,21899,249335
147,07-05-2018,1,449,INR,70074,174458
148,09-05-2018,1,449,INR,37250,129691
149,11-05-2018,1,449,INR,72426,139864
150,11-05-2018,7,9880,INR,18079,486482
151,16-05-2018,1,301,INR,62919,109839
152,16-05-2018,6,7954,INR,94707,102219
153,17-05-2018,1,2153,INR,97031,364571
154,17-05-2018,4,5306,INR,41199,413342
155,18-05-2018,1,1801,INR,77922,387177
156,23-05-2018,2,2699,INR,51642,141706
157,24-05-2018,1,1616,INR,76180,501701
158,25-05-2018,2,2245,INR,72634,456922
159,26-05-2018,1,0,INR,59836,102582
160,28-05-2018,1,903,INR,26473,405031
161,29-05-2018,4,5306,INR,79770,263185
162,30-05-2018,3,3778,INR,88503,109549
163,31-05-2018,1,537,INR,83948,487422
164,31-05-2018,1,1417,INR,36470,163436
165,31-05-2018,4,5306,INR,28527,282630
166,01-06-2018,1,472,INR,63006,255651
167,01-06-2018,3,4051,INR,18923,549624
168,01-06-2018,10,14815,INR,94662,413451
169,06-06-2018,3,4495,INR,73355,523044
170,07-06-2018,2,2690,INR,79063,102038
171,07-06-2018,1,1417,INR,38422,403754
172,08-06-2018,1,449,INR,65501,545808
173,08-06-2018,18,23866,INR,390,439417
174,11-06-2018,1,898,INR,74308,390478
175,11-06-2018,3,4940,INR,10829,103649
176,13-06-2018,1,449,INR,18627,430451
177,14-06-2018,1,2153,INR,95761,518548
178,14-06-2018,1,472,INR,65289,518819
179,14-06-2018,1,449,INR,12714,447526
180,14-06-2018,4,5306,INR,44862,102579
181,15-06-2018,3,3602,INR,72306,126128
182,18-06-2018,4,3583,INR,41736,518803
183,18-06-2018,4,4954,INR,52484,377434
184,21-06-2018,1,1889,INR,28492,442180
185,18-07-2018,1,472,INR,69086,129551
186,18-07-2018,1,1352,INR,70248,577891
187,19-07-2018,1,1616,INR,79404,462172
188,19-07-2018,1,449,INR,23302,104481
189,23-07-2018,1,1801,INR,88139,536499
190,30-07-2018,1,1801,INR,89503,532670
191,25-01-2019,1,449,INR,63311,113036
192,04-02-2019,1,449,INR,38163,536328
193,20-02-2019,1,449,INR,41993,109548
194,13-03-2019,1,444,INR,39307,364627
195,28-03-2019,1,444,INR,97619,104147
196,30-04-2019,1,0,INR,95267,553404
197,06-10-2017,1,505,INR,76228,271964
198,13-10-2017,1,1514,INR,88936,102041
199,20-10-2017,1,2023,INR,94962,497063
200,27-10-2017,25,37889,INR,64618,378028
201,08-02-2018,1,593,INR,26758,549633
202,16-02-2018,1,597,INR,75559,143194
203,26-02-2018,1,2389,INR,51444,327008
204,01-03-2018,1,593,INR,13095,497638
205,02-03-2018,1,1194,INR,16154,580202
206,05-03-2018,8,13736,INR,99658,377292
207,12-03-2018,1,1194,INR,82709,102571
208,03-04-2018,1,597,INR,55321,476303
209,09-04-2018,1,597,INR,9717,451742
210,13-04-2018,1,597,INR,22741,451743
211,24-04-2018,17,17472,INR,47750,116272
212,26-04-2018,2,2986,INR,79403,102581
213,27-04-2018,2,2986,INR,11797,508701
214,07-05-2018,1,597,INR,78696,549383
215,14-05-2018,1,1194,INR,36572,440950
216,18-05-2018,1,796,INR,64023,355561
217,31-05-2018,26,26722,INR,44725,462505
218,11-06-2018,1,796,INR,40667,186264
219,13-06-2018,1,796,INR,74544,211142
220,14-06-2018,1,3185,INR,54146,489422
221,18-06-2018,1,796,INR,39568,401391
222,22-06-2018,1,2389,INR,91996,354669
223,29-06-2018,1,3185,INR,1471,519622
224,09-07-2018,2,5574,INR,75222,153339
225,13-07-2018,1,796,INR,95293,443028
226,20-07-2018,1,796,INR,21716,226773
227,27-07-2018,1,796,INR,3973,385197
228,03-08-2018,1,1593,INR,80534,431115
229,12-10-2018,1,514,INR,5105,508583
230,17-10-2018,1,4759,INR,41699,132538
231,25-10-2018,1,1190,INR,93225,394140
232,26-10-2018,1,1190,INR,41086,124500
233,31-10-2018,3,4106,INR,95693,370259
234,05-11-2018,2,5949,INR,17157,533855
235,06-11-2018,2,5949,INR,26770,125180
236,07-12-2018,1,514,INR,91483,263297
237,14-12-2018,1,514,INR,22416,410629
238,21-12-2018,1,514,INR,21591,461084
239,28-12-2018,1,0,INR,14159,499377
240,28-01-2019,1,514,INR,81159,390901
241,01-02-2019,1,514,INR,33026,127306
242,08-02-2019,1,1028,INR,70197,111386
243,15-02-2019,1,2056,INR,68124,308169
244,22-02-2019,1,796,INR,31683,537808
245,22-02-2019,1,1542,INR,26824,433648
246,01-03-2019,1,514,INR,20053,115931
247,08-03-2019,1,1028,INR,20595,579047
248,12-04-2019,1,796,INR,64678,174464
249,03-06-2019,1,796,INR,57538,163435
250,17-06-2019,1,1593,INR,1389,417015
251,24-06-2019,1,796,INR,27107,376602
252,15-07-2019,1,611,INR,239,546139
253,16-08-2019,1,1028,INR,21233,102578
254,27-09-2019,1,514,INR,29788,503432
255,04-10-2019,1,514,INR,41340,514288
256,18-10-2019,1,514,INR,36937,552372
257,21-10-2019,1,796,INR,17267,385938
258,25-10-2019,1,796,INR,66837,164297
259,01-11-2019,1,514,INR,35279,579040
260,04-11-2019,1,796,INR,93608,539663
261,08-11-2019,1,1593,INR,26109,120193
262,08-11-2019,1,514,INR,32256,102631
263,15-11-2019,1,3185,INR,60760,189441
264,15-11-2019,1,514,INR,30203,102039
265,18-11-2019,1,514,INR,98708,127463
266,06-12-2019,2,4778,INR,45289,109387
267,06-12-2019,1,514,INR,98692,306094
268,13-12-2019,4,10352,INR,49142,102577
269,20-12-2019,1,796,INR,68017,242722
270,12-06-2020,1,1028,INR,71065,528374
271,16-06-2020,1,514,INR,45681,355563
272,05-06-2018,33,29648,INR,76291,417020
273,10-10-2017,240,143560,INR,82777,385636
274,11-10-2017,7,6204,INR,30666,546127
275,16-10-2017,1,495,INR,6590,195788
276,23-10-2017,20,25130,INR,51094,102040
277,25-10-2017,1,986,INR,3896,414252
278,02-11-2017,13,23898,INR,90057,484449
279,03-11-2017,1,296,INR,43718,530955
280,08-11-2017,1,356,INR,20705,554195
281,10-10-2017,100,41241,"INR",92578,450591
282,08-05-2018,3,-1,"INR",357,509389
283,06-04-2018,1,875,"INR",73050,385811
284,11-04-2018,1,583,"INR",38727,419356
285,18-06-2018,6,7176,"INR",71407,103646
286,23-11-2017,39,21412,"INR",89997,120977
287,27-11-2017,35,19213,"INR",23396,372399
288,28-11-2017,310,170185,"INR",65386,455954
289,29-11-2017,184,101194,"INR",76708,292480
290,30-11-2017,35,19213,"INR",44323,512637
291,29-11-2017,17,9426,"INR",21594,372402
292,19-12-2017,1,218,"INR",33803,530390
293,07-08-2018,5,3093,"INR",7671,372748
294,04-12-2017,58,30306,"INR",77012,236464
295,29-06-2018,38,52319,"INR",33103,257314
296,02-07-2018,93,126296,"INR",23660,525290
297,03-07-2018,79,107500,"INR",75074,372401
298,04-07-2018,1,273,"INR",45986,566600
299,06-07-2018,3,3574,"INR",37307,187581
300,13-07-2018,1,273,"INR",5009,364460
301,07-06-2019,20,23403,"INR",33457,350908
302,29-07-2019,81,76329,"INR",4443,103645
303,01-08-2019,5,4542,"INR",25386,547588
304,19-09-2019,18,16579,"INR",70923,363377
305,27-09-2019,90,105301,"INR",32671,365286
306,09-10-2017,1,185,"INR",62918,174578
307,13-10-2017,1,556,"INR",64287,207907
308,27-10-2017,1,551,"INR",85714,480302
309,03-11-2017,1,167,"INR",68740,229462
310,06-11-2017,1,333,"INR",69686,509922
311,10-11-2017,1,500,"INR",12259,244302
312,16-11-2017,1,333,"INR",35344,229475
313,17-11-2017,1,333,"INR",9088,417740
314,27-11-2017,1,500,"INR",24769,388007
315,04-12-2017,1,833,"INR",50624,300380
316,08-12-2017,1,167,"INR",5811,190030
317,11-12-2017,1,833,"INR",83331,180225
318,18-12-2017,1,1000,"INR",66009,186918
319,27-12-2017,2,1833,"INR",76381,383698
320,28-12-2017,1,167,"INR",40866,365232
321,05-01-2018,1,167,"INR",11018,383695
322,08-01-2018,1,833,"INR",17420,551764
323,22-01-2018,1,167,"INR",84389,546062
324,21-02-2018,26,10657,"INR",16476,193441
325,23-02-2018,1,167,"INR",461,165411
326,03-08-2018,1,157,"INR",34583,127035
327,24-08-2018,1,315,"INR",1140,281294
328,21-09-2018,1,630,"INR",34365,383696
329,28-09-2018,1,315,"INR",25837,383699
330,09-11-2018,1,157,"INR",43993,406415
331,16-11-2018,1,472,"INR",1656,400606
332,07-12-2018,1,157,"INR",19158,127034
333,14-12-2018,1,157,"INR",37140,496555
334,25-01-2019,1,315,"INR",8319,368710
335,01-02-2019,1,157,"INR",25322,302166
336,08-02-2019,1,472,"INR",34568,116271
337,15-02-2019,1,472,"INR",34540,332173
338,22-02-2019,1,315,"INR",99740,512784
339,01-03-2019,1,472,"INR",42835,394530
340,08-03-2019,1,315,"INR",17023,385163
341,15-03-2019,1,157,"INR",75186,414910
342,22-03-2019,1,315,"INR",37337,437594
343,29-03-2019,1,315,"INR",84163,367523
344,05-04-2019,1,315,"INR",57605,370137
345,12-04-2019,1,787,"INR",41023,530618
346,23-04-2019,1,630,"INR",47164,484451
347,29-04-2019,1,472,"INR",78967,472498
348,06-05-2019,1,315,"INR",19311,381376
349,10-05-2019,1,787,"INR",26444,423682
350,17-05-2019,1,1102,"INR",6563,472852
351,03-06-2019,1,787,"INR",94769,109260
352,07-06-2019,1,157,"INR",42597,110560
353,17-06-2019,1,315,"INR",71000,518550
354,24-06-2019,1,315,"INR",13451,568511
355,28-06-2019,1,315,"INR",653,369083
356,05-07-2019,1,472,"INR",28963,109771
357,12-07-2019,1,630,"INR",30377,492183
358,19-07-2019,1,944,"INR",86094,152803
359,26-07-2019,2,1417,"INR",25079,164125
360,02-08-2019,2,1417,"INR",80312,350307
361,09-08-2019,1,787,"INR",81715,502166
362,16-08-2019,1,1259,"INR",33376,531799
363,02-09-2019,2,1574,"INR",69029,380534
364,03-09-2019,1,630,"INR",35281,394135
365,06-09-2019,1,157,"INR",18749,153648
366,13-09-2019,2,1417,"INR",66146,556855
367,20-09-2019,1,630,"INR",49872,489107
368,23-09-2019,200,66111,"INR",88104,569383
369,27-09-2019,2,1884,"INR",30000,531219
370,07-10-2019,1,944,"INR",27589,500770
371,28-10-2019,7,2574,"INR",86321,553063
372,08-11-2019,1,630,"INR",10466,237779
373,15-11-2019,1,472,"INR",94974,442389
374,22-11-2019,1,944,"INR",89592,547753
375,29-11-2019,2,1417,"INR",78942,166205
376,06-12-2019,1,1259,"INR",14284,173008
377,13-12-2019,4,3773,"INR",41986,361206
378,20-12-2019,1,315,"INR",15826,153653
379,09-01-2020,1,630,"INR",73049,279448
380,10-01-2020,1,472,"INR",89028,493220
381,17-01-2020,2,2042,"INR",38725,124383
382,07-02-2020,1,417,"INR",41101,555105
383,14-02-2020,1,310,"INR",31987,326486
384,28-02-2020,1,208,"INR",21695,520872
385,06-03-2020,1,620,"INR",75245,530620
386,13-03-2020,1,620,"INR",65549,479984
387,03-04-2020,1,829,"INR",38986,152804
388,14-04-2020,4,2694,"INR",63504,432868
389,20-04-2020,1,102,"INR",28966,424993
390,15-05-2020,2,528,"INR",82951,300432
391,24-10-2017,1,380,"INR",90874,532330
392,25-10-2017,1,560,"INR",92898,256769
393,30-10-2017,1,560,"INR",6894,559895
394,27-11-2017,1,1116,"INR",26576,251915
395,11-12-2017,1,657,"INR",38410,134577
396,12-12-2017,1,560,"INR",29675,523072
397,19-12-2017,1,657,"INR",86444,476268
398,12-02-2018,1,560,"INR",803,412598
399,19-10-2018,11,6218,"INR",14358,452854
400,20-11-2017,7,2426,"INR",92104,354044
401,24-11-2017,33,15278,"INR",36827,553046
402,14-11-2018,3,3032,"INR",74728,288425
403,22-05-2019,2,3194,"INR",14635,481576
404,23-05-2019,1,912,"INR",79376,368664
405,28-05-2019,1,1824,"INR",36957,532732
406,29-05-2019,1,458,"INR",97379,404666
407,31-05-2019,3,4444,"INR",1353,143559
408,03-06-2019,1,458,"INR",32732,183499
409,04-06-2019,1,458,"INR",22947,395982
410,05-06-2019,1,1824,"INR",63301,569289
411,05-06-2019,2,2667,"INR",29054,419787
412,06-06-2019,14,19171,"INR",54679,419687
413,07-06-2019,1,458,"INR",57104,249645
414,11-06-2019,1,458,"INR",42896,332479
415,12-06-2019,1,458,"INR",41062,415635
416,14-06-2019,1,1370,"INR",97488,479113
417,14-06-2019,2,2667,"INR",70126,410836
418,17-06-2019,1,1333,"INR",16467,476276
419,18-06-2019,1,597,"INR",73121,385489
420,18-06-2019,7,8889,"INR",89035,305454
421,19-06-2019,1,1778,"INR",31046,570971
422,28-06-2019,7,9130,"INR",77590,405673
423,23-04-2018,1,602,"INR",55008,377020
424,03-05-2018,2,3227,"INR",92915,420152
425,04-05-2018,1,449,"INR",64903,403440
426,07-05-2018,1,449,"INR",75131,258830
427,09-05-2018,1,449,"INR",14129,361216
428,11-05-2018,1,449,"INR",70550,192853
429,11-05-2018,7,9880,"INR",67790,412322
430,16-05-2018,1,301,"INR",23858,480140
431,16-05-2018,6,7954,"INR",56549,530382
432,17-05-2018,1,2153,"INR",981,507033
433,17-05-2018,4,5306,"INR",31048,441979
434,18-05-2018,1,1801,"INR",26610,545216
435,23-05-2018,2,2699,"INR",49415,480225
436,24-05-2018,1,1616,"INR",52483,387711
437,25-05-2018,2,2245,"INR",83543,258777
438,26-05-2018,1,0,"INR",38713,389125
439,28-05-2018,1,903,"INR",12000,489340
440,29-05-2018,4,5306,"INR",36815,505432
441,30-05-2018,3,3778,"INR",81421,571985
442,31-05-2018,1,537,"INR",51098,568905
443,31-05-2018,1,1417,"INR",7671,146227
444,31-05-2018,4,5306,"INR",70112,146243
445,01-06-2018,1,472,"INR",30733,146156
446,01-06-2018,3,4051,"INR",81739,218090
447,01-06-2018,10,14815,"INR",10374,146192
448,06-06-2018,3,4495,"INR",12121,239690
449,07-06-2018,2,2690,"INR",3418,524742
450,07-06-2018,1,1417,"INR",9465,466231
451,08-06-2018,1,449,"INR",98989,312572
452,08-06-2018,18,23866,"INR",92306,146161
453,11-06-2018,1,898,"INR",53345,570337
454,11-06-2018,3,4940,"INR",20294,323083
455,13-06-2018,1,449,"INR",46862,482021
456,14-06-2018,1,2153,"INR",90813,436752
457,14-06-2018,1,472,"INR",28092,519105
458,14-06-2018,1,449,"INR",38693,414955
459,14-06-2018,4,5306,"INR",77252,459695
460,15-06-2018,3,3602,"INR",28435,303459
461,18-06-2018,4,3583,"INR",65812,572668
462,18-06-2018,4,4954,"INR",71560,538526
463,21-06-2018,1,1889,"INR",82969,326274
464,18-07-2018,1,472,"INR",52413,276830
465,18-07-2018,1,1352,"INR",52147,297700
466,19-07-2018,1,1616,"INR",63512,362114
467,19-07-2018,1,449,"INR",45741,324273
468,23-07-2018,1,1801,"INR",22039,326295
469,30-07-2018,1,1801,"INR",47158,326297
470,25-01-2019,1,449,"INR",56053,218114
471,04-02-2019,1,449,"INR",6607,326279
472,20-02-2019,1,449,"INR",26271,326275
473,13-03-2019,1,444,"INR",97022,326272
474,28-03-2019,1,444,"INR",24967,146144
475,30-04-2019,1,0,"INR",33710,544517
476,06-10-2017,1,505,"INR",58053,146135
477,13-10-2017,1,1514,"INR",86946,430688
478,20-10-2017,1,2023,"INR",51682,524405
479,27-10-2017,25,37889,"INR",33077,228898
480,08-02-2018,1,593,"INR",15565,227061
481,16-02-2018,1,597,"INR",3187,107348
482,26-02-2018,1,2389,"INR",63914,102141
483,01-03-2018,1,593,"INR",34338,133317
484,02-03-2018,1,1194,"INR",99265,396907
485,05-03-2018,8,13736,"INR",12221,106153
486,12-03-2018,1,1194,"INR",55544,191297
487,03-04-2018,1,597,"INR",43975,140286
488,09-04-2018,1,597,"INR",37842,129221
489,13-04-2018,1,597,"INR",17872,216571
490,24-04-2018,17,17472,"INR",4964,148652
491,26-04-2018,2,2986,"INR",25717,226493
492,27-04-2018,2,2986,"INR",49237,106660
493,07-05-2018,1,597,"INR",90836,144087
494,14-05-2018,1,1194,"INR",7296,354337
495,18-05-2018,1,796,"INR",37994,133984
496,31-05-2018,26,26722,"INR",77880,106644
497,11-06-2018,1,796,"INR",91609,459039
498,13-06-2018,1,796,"INR",74137,106649
499,14-06-2018,1,3185,"INR",88366,107356
500,18-06-2018,1,796,"INR",88793,525705
501,22-06-2018,1,2389,"INR",60885,156626
502,29-06-2018,1,3185,"INR",15704,542392
503,09-07-2018,2,5574,"INR",25161,107347
504,13-07-2018,1,796,"INR",42452,129223
505,20-07-2018,1,796,"INR",91783,106647
506,27-07-2018,1,796,"INR",44011,142469
507,03-08-2018,1,1593,"INR",95681,166872
508,12-10-2018,1,514,"INR",50851,391689
509,17-10-2018,1,4759,"INR",66233,317459
510,25-10-2018,1,1190,"INR",89429,288965
511,26-10-2018,1,1190,"INR",62412,474522
512,31-10-2018,3,4106,"INR",28403,397298
513,05-11-2018,2,5949,"INR",30430,487740
514,06-11-2018,2,5949,"INR",34240,106656
515,07-12-2018,1,514,"INR",9424,381464
516,14-12-2018,1,514,"INR",27135,402612
517,21-12-2018,1,514,"INR",24089,437089
518,28-12-2018,1,0,"INR",3624,156634
519,28-01-2019,1,514,"INR",64033,186059
520,01-02-2019,1,514,"INR",10771,351254
521,08-02-2019,1,1028,"INR",80030,173873
522,15-02-2019,1,2056,"INR",32311,147499
523,22-02-2019,1,796,"INR",93589,129219
524,22-02-2019,1,1542,"INR",82183,231022
525,01-03-2019,1,514,"INR",35887,106158
526,08-03-2019,1,1028,"INR",74367,317458
527,12-04-2019,1,796,"INR",81057,568813
528,03-06-2019,1,796,"INR",88160,210529
529,17-06-2019,1,1593,"INR",12949,480230
530,24-06-2019,1,796,"INR",67709,450577
531,15-07-2019,1,611,"INR",93095,167658
532,16-08-2019,1,1028,"INR",18042,429042
533,27-09-2019,1,514,"INR",46943,387090
534,04-10-2019,1,514,"INR",50847,129225
535,18-10-2019,1,514,"INR",45608,129222
536,21-10-2019,1,796,"INR",36035,563133
537,25-10-2019,1,796,"INR",37160,308502
538,01-11-2019,1,514,"INR",97325,379784
539,04-11-2019,1,796,"INR",66548,106155
540,08-11-2019,1,1593,"INR",26926,451858
541,08-11-2019,1,514,"INR",56955,346113
542,15-11-2019,1,3185,"INR",86772,345169
543,15-11-2019,1,514,"INR",77670,488972
544,18-11-2019,1,514,"INR",70246,470446
545,06-12-2019,2,4778,"INR",9893,260664
546,06-12-2019,1,514,"INR",40204,142468
547,13-12-2019,4,10352,"INR",78557,106659
548,20-12-2019,1,796,"INR",35173,498164
549,12-06-2020,1,1028,"INR",58409,129218
550,16-06-2020,1,514,"INR",72553,361218
551,05-06-2018,33,29648,"INR",24179,106652
552,10-10-2017,240,143560,"INR",49796,155345
553,11-10-2017,7,6204,"INR",89408,541876
554,16-10-2017,1,495,"INR",77467,140285
555,23-10-2017,20,25130,"INR",80625,354470
556,25-10-2017,1,986,"INR",38515,381614
557,02-11-2017,13,23898,"INR",2661,460534
558,03-11-2017,1,296,"INR",55822,424638
559,08-11-2017,1,356,"INR",41258,535243
560,14-11-2017,1,1977,"INR",76145,544934
561,22-11-2017,1,296,"INR",3351,422057
562,22-11-2017,7,8375,"INR",56019,457691
563,05-12-2017,4,7171,"INR",72103,498026
564,15-12-2017,1,356,"INR",25386,226002
565,15-01-2018,1,356,"INR",75230,417721
566,22-01-2018,7,8375,"INR",11411,378373
567,06-02-2018,208,77931,"INR",51070,418416
568,08-02-2018,105,40704,"INR",44828,155342
569,09-02-2018,125,47074,"INR",43352,542806
570,14-02-2018,10,4028,"INR",62707,484400
571,24-04-2018,33,30167,"INR",24500,108693
572,24-05-2018,6,1968,"INR",44407,398254
573,20-11-2017,3,1366,"INR",70919,477251
574,01-12-2017,1,495,"INR",4134,129214
575,22-03-2018,17,6713,"INR",94294,221998
576,18-05-2018,57,27708,"INR",9325,142467
577,13-10-2017,1,537,"INR",15578,452094
578,17-10-2017,7,7644,"INR",8682,216034
579,21-11-2017,1,157,"INR",90202,387274
580,24-11-2017,8,10972,"INR",2019,387984
581,01-12-2017,1,1218,"INR",26873,418431
582,04-12-2017,9,13407,"INR",48303,256523
583,10-01-2018,5,0,"INR",85273,400695
584,12-01-2018,1,245,"INR",22722,190512
585,22-02-2018,1,245,"INR",86602,298120
586,28-06-2018,187,115481,"INR",13240,298134
587,29-06-2018,38,78986,"INR",17066,516317
588,02-07-2018,119,245546,"INR",11140,471533
589,03-07-2018,79,162292,"INR",20687,307163
590,04-07-2018,1,412,"INR",8840,402269
591,06-07-2018,5,7981,"INR",20266,492449
592,11-07-2018,19,27505,"INR",40293,306768
593,13-07-2018,173,145921,"INR",53689,531066
594,13-07-2018,1,546,"INR",80009,572448
595,19-07-2018,20,28167,"INR",44257,548154
596,24-07-2018,23,32764,"INR",30599,384570
597,25-07-2018,5,6648,"INR",47303,508034
598,26-07-2018,28,40366,"INR",55877,475170
599,27-07-2018,3,4273,"INR",39183,382150
600,31-07-2018,1,949,"INR",38376,107750
601,01-08-2018,1,477,"INR",28381,522250
602,02-08-2018,1,949,"INR",55341,359032
603,03-08-2018,41,70356,"INR",18710,106651
604,07-08-2018,7,6528,"INR",94920,485620
605,07-08-2018,1,477,"INR",80358,155428
